body_temp,ambient_temp,pressure_hpa,humidity_pct,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,heart_rate_bpm,spo2_pct,activity_label
36.47,17.65,1028.79,37.8,2.62,3.43,2.63,344.11,429.04,170.41,165.35,97.32,Running
36.63,32.99,1011.83,78.69,1.13,0.61,1.79,119.02,134.22,136.68,92.49,96.47,Walking
36.62,44.67,1002.78,64.21,0.03,0.05,0.04,6.17,1.2,8.28,49.19,96.71,Sleeping
37.16,28.81,1014.71,34.42,0.02,0.11,0.06,2.61,4.48,3.48,63.95,97.74,Sedentary
36.6,26.93,1018.82,30.28,0.12,0.11,0.07,5.51,1.97,12.4,75.33,97.61,Sedentary
36.68,22.48,1026.56,74.36,0.08,0.12,0.11,13.98,9.35,21.49,63.77,97.81,Sedentary
36.83,31.01,1022.04,45.72,0.07,0.03,0.06,13.72,8.94,7.87,65.15,96.7,Resting
37.15,26.25,1018.13,74.63,3.14,2.75,3.54,369.2,355.86,552.85,177.44,96.47,Running
36.54,27.91,1032.45,56.7,0.02,0.03,0.04,3.29,-1.27,8.79,49.23,96.49,Sleeping
36.79,32.51,996.26,45.04,4.97,2.85,3.24,395.83,259.76,537.14,151.2,96.98,Running
37.02,21.42,1012.55,53.52,1.4,1.42,1.21,72.12,151.59,137.26,97.17,96.38,Walking
36.6,31.34,1013.69,62.26,0.05,0.13,0.09,8.06,5.57,8.22,69.29,95.45,Resting
36.29,33.52,1013.63,79.81,2.88,3.14,3.77,272.22,413.05,412.69,160.03,97.12,Running
36.73,32.72,1021.47,30.46,2.43,4.49,3.38,257.04,478.79,283.04,155.86,97.23,Running
36.66,33.46,1003.4,67.21,0.11,0.2,0.03,10.88,9.26,8.24,76.63,95.89,Sedentary
36.79,32.44,1027.54,58.85,1.19,0.81,1.59,121.68,114.51,115.03,80.94,97.01,Walking
36.9,22.87,1003.5,33.77,0.08,0.01,0.03,1.51,3.41,13.56,66.42,97.05,Sedentary
36.49,34.81,1023.66,65.12,0.05,0.13,0.13,12.58,29.26,12.85,53.98,97.87,Resting
36.33,27.71,1003.87,63.6,2.67,3.48,1.41,451.12,335.05,493.22,140.9,99.0,Running
36.96,23.24,1000.09,64.98,0.06,0.14,0.06,5.07,5.69,7.46,69.36,96.63,Sedentary
36.44,23.62,1016.18,37.82,3.76,4.01,3.3,598.16,240.78,621.25,117.76,96.67,Running
36.42,31.15,1004.85,34.59,0.06,0.06,0.12,16.45,6.01,6.7,68.32,96.66,Sedentary
36.82,37.52,1003.18,72.82,0.11,0.07,0.1,8.07,10.57,13.31,68.7,99.35,Resting
36.43,25.42,1017.67,61.3,0.08,0.03,0.02,3.36,1.2,5.33,52.51,97.48,Sleeping
36.45,28.3,1000.62,64.08,0.11,0.05,0.07,4.45,4.73,3.48,45.88,98.57,Sleeping
36.95,29.57,1019.1,79.53,0.03,0.05,0.13,14.21,6.24,6.37,59.27,97.75,Sedentary
36.7,34.74,1007.1,49.48,0.04,0.08,0.05,5.8,0.97,-5.09,48.51,100.0,Sleeping
37.44,26.07,1019.67,69.48,0.04,0.08,0.05,11.9,7.41,4.7,69.93,97.77,Sedentary
37.07,26.1,1010.42,73.34,2.6,1.91,1.73,409.48,527.28,428.5,173.67,97.5,Running
36.94,19.05,1023.69,65.41,0.04,0.02,0.07,2.83,-0.63,3.28,38.3,95.26,Sleeping
