body_temp,ambient_temp,pressure_hpa,humidity_pct,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,heart_rate_bpm,spo2_pct,physio_state
38.78,23.35,1013.8,76.93,3.58,0.79,2.92,-0.05,7.54,11.96,156.81,92.5,Overexertion
38.23,24.99,1031.52,36.1,0.07,0.11,0.04,11.88,7.0,8.54,94.94,95.58,Possible fever
37.58,29.62,1020.46,56.04,0.18,0.12,0.03,-0.89,4.78,10.86,97.63,96.55,Possible fever
37.29,30.38,1026.04,76.32,0.17,0.14,0.23,3.17,13.18,5.47,102.95,97.42,Stressed
36.75,31.98,1027.95,54.69,0.06,0.14,0.11,4.81,9.62,14.86,66.72,98.18,Normal
36.9,29.49,1002.72,56.99,0.03,0.09,0.1,14.81,18.97,12.9,65.08,97.33,Normal
36.56,26.36,1009.08,70.9,0.12,0.07,0.13,10.49,14.84,6.49,73.14,82.15,Low oxygen state
36.9,23.77,1004.78,64.82,0.07,0.07,0.12,2.71,6.69,9.27,110.49,84.97,Low oxygen state
36.67,28.84,999.78,70.16,0.03,0.12,0.2,19.83,0.3,6.19,69.33,98.24,Normal
36.6,28.05,1009.34,41.32,0.06,0.1,0.08,14.62,18.53,14.37,110.68,83.75,Low oxygen state
36.93,25.39,1013.13,43.04,0.15,0.06,0.13,19.36,11.98,6.87,50.24,97.48,Normal
36.91,24.6,1015.32,38.08,0.04,0.03,0.13,11.48,11.25,11.73,72.08,97.78,Normal
38.13,27.87,1026.43,66.05,0.09,0.09,0.0,10.75,9.92,3.35,99.18,97.57,Possible fever
36.23,20.97,1012.65,66.12,0.04,0.07,0.06,12.69,23.67,10.47,53.57,94.72,Fatigued
36.78,23.72,1002.73,46.13,0.03,-0.0,0.07,1.89,4.26,16.95,62.7,96.67,Fatigued
37.39,24.14,1010.63,58.91,0.13,0.16,0.15,13.26,8.42,13.79,99.6,100.0,Dehydrated
37.68,30.19,1029.64,36.92,1.11,1.9,3.09,9.76,12.59,8.04,145.22,96.56,Overexertion
36.6,21.37,1031.44,42.39,0.12,0.02,0.15,16.33,11.89,18.26,67.33,96.68,Normal
36.73,34.62,1011.72,61.29,0.05,0.02,0.06,0.03,3.5,17.72,57.21,95.74,Fatigued
38.03,33.3,1006.31,40.73,2.42,1.42,3.28,12.23,15.68,12.51,142.64,90.69,Overexertion
37.27,30.76,1005.9,70.34,0.16,0.24,0.11,12.91,6.85,14.38,94.75,96.64,Stressed
38.24,32.27,1010.29,77.5,2.92,1.93,3.96,7.38,14.75,8.8,147.74,90.99,Overexertion
36.44,20.8,1009.17,49.83,0.08,0.06,0.04,12.48,10.28,10.3,50.51,94.12,Fatigued
38.51,27.91,1010.11,32.82,2.84,2.56,1.49,9.2,9.9,4.99,185.42,91.31,Overexertion
36.87,24.16,1021.72,32.27,0.06,0.1,0.12,17.26,14.8,20.77,70.1,97.1,Normal
37.0,21.37,1005.29,52.66,0.05,0.08,0.04,17.95,6.22,5.62,117.28,96.77,Dehydrated
36.76,27.93,1026.72,49.65,0.11,0.04,0.11,17.0,7.76,11.7,108.1,85.29,Low oxygen state
37.17,26.43,997.01,36.46,0.09,0.1,0.11,11.51,17.58,11.56,50.38,96.1,Normal
36.54,25.15,1017.14,54.0,0.04,0.08,0.07,16.38,9.54,14.69,68.05,96.1,Fatigued
38.2,21.1,995.97,52.96,2.78,3.29,1.49,17.51,10.37,18.14,158.89,92.75,Overexertion
36.78,30.34,1013.15,60.1,0.18,0.06,0.13,5.44,14.99,8.82,88.74,95.9,Normal
36.56,34.02,1021.51,67.41,0.03,0.04,-0.02,9.49,10.21,12.57,56.28,93.2,Fatigued
36.86,26.87,1005.29,58.2,0.04,0.16,0.13,8.21,14.51,5.64,101.91,96.75,Stressed
36.17,23.62,999.17,62.3,0.22,0.15,0.16,12.69,4.81,9.05,72.03,98.48,Stressed
36.74,41.08,1008.69,78.4,0.11,0.19,0.1,12.83,14.16,1.27,51.78,97.8,Normal
37.45,41.92,996.89,32.59,0.08,0.08,0.02,13.99,4.3,11.34,91.4,94.26,Dehydrated
38.43,35.53,1007.92,76.32,2.85,3.03,2.95,16.44,12.32,7.2,135.16,92.12,Overexertion
36.94,18.65,1009.48,67.38,0.04,0.07,0.08,7.96,-0.19,4.96,50.52,94.02,Fatigued
36.83,30.4,1028.83,79.88,0.04,0.06,0.07,12.56,9.94,15.27,64.97,95.51,Fatigued
36.53,34.93,1023.09,57.14,0.16,0.08,0.08,7.24,14.82,14.87,90.06,84.9,Low oxygen state
36.77,35.82,1025.05,48.72,0.04,0.06,0.04,8.66,7.8,13.22,64.03,93.06,Fatigued
36.82,28.37,1000.1,66.88,0.18,0.09,0.08,4.94,1.73,14.12,78.75,95.31,Normal
36.41,24.64,1006.45,55.76,0.09,0.12,0.04,11.39,6.41,14.53,66.45,97.08,Normal
36.56,28.78,1038.7,33.29,0.11,0.07,0.11,6.09,13.37,9.43,68.68,97.0,Normal
38.53,28.55,1011.16,43.62,0.02,0.24,0.18,9.91,8.51,6.42,104.52,98.82,Possible fever
37.08,26.13,1020.11,71.51,0.04,0.07,0.12,3.89,13.56,8.8,80.17,97.72,Normal
38.04,29.14,1020.48,46.79,0.11,0.06,0.13,12.33,16.84,14.79,95.41,96.1,Dehydrated
38.27,34.73,1034.55,42.89,2.37,2.51,2.74,14.86,9.85,8.32,173.45,91.92,Overexertion
36.57,23.51,1003.9,66.61,0.13,0.04,0.04,6.6,19.05,9.9,64.27,92.0,Fatigued
38.79,23.38,999.48,65.95,0.13,0.06,0.11,6.22,6.94,2.97,77.46,97.03,Possible fever
36.96,22.76,991.81,47.58,0.27,0.1,0.08,11.42,8.6,11.87,90.79,96.95,Stressed
37.49,33.32,1014.2,66.61,0.08,0.06,0.05,15.72,3.4,8.87,63.36,95.62,Fatigued
38.06,23.9,1019.16,35.76,3.45,0.6,3.44,23.03,6.34,8.19,187.14,95.59,Overexertion
36.54,30.43,1014.45,51.34,0.08,0.06,0.05,16.67,11.59,20.21,70.28,93.67,Fatigued
36.82,25.39,1008.8,47.73,0.02,-0.01,0.01,7.77,17.27,17.9,58.31,92.49,Fatigued
37.82,40.28,1006.62,41.02,0.13,0.04,0.12,10.83,12.46,11.45,94.69,96.95,Dehydrated
39.62,28.85,1012.97,74.87,0.1,0.03,0.13,22.27,10.54,1.46,88.34,98.19,Possible fever
37.51,28.52,995.51,42.99,0.11,0.08,0.13,12.72,15.42,5.75,104.6,82.97,Low oxygen state
38.27,26.11,1018.47,37.87,0.19,0.14,0.16,10.66,10.79,18.66,85.5,97.04,Possible fever
37.12,26.03,1013.29,30.32,0.13,0.09,0.11,16.03,5.92,11.84,114.81,93.11,Low oxygen state
36.35,31.85,1019.77,38.69,0.09,0.11,0.16,8.82,4.07,8.01,62.07,97.15,Normal
37.38,25.37,1011.69,68.52,0.11,0.01,0.15,7.6,10.64,11.84,79.65,96.64,Dehydrated
37.58,30.15,1015.43,72.87,0.16,0.11,0.14,7.53,6.38,13.66,89.33,96.95,Possible fever
36.73,30.24,1019.43,36.56,0.24,0.18,0.08,11.71,12.28,12.85,110.95,95.75,Stressed
36.79,29.48,1012.59,37.48,0.03,0.12,0.12,5.02,14.45,1.41,58.59,97.61,Normal
36.75,25.14,1010.37,79.33,0.08,0.15,0.05,11.86,12.39,9.88,104.96,86.39,Low oxygen state
38.61,29.76,1014.33,36.21,0.1,0.06,0.08,15.38,13.16,5.11,103.8,95.85,Possible fever
36.82,28.99,1033.75,56.32,0.12,0.14,0.13,15.25,7.32,16.59,64.82,97.7,Normal
36.59,30.86,1016.75,51.68,0.01,0.09,0.15,7.88,8.23,-0.13,101.07,96.54,Stressed
36.65,38.01,1011.95,73.67,0.08,0.07,0.0,0.68,5.49,2.19,70.68,93.74,Fatigued
38.69,35.22,986.9,33.46,0.09,0.14,0.06,18.28,2.3,3.07,86.06,98.25,Possible fever
36.76,25.66,1016.47,78.49,0.16,0.01,0.08,4.4,3.53,15.8,101.73,81.78,Low oxygen state
36.22,21.48,1027.05,47.84,0.06,0.04,0.1,12.94,10.58,6.29,50.37,96.24,Fatigued
38.57,30.24,1007.11,37.42,2.74,3.2,0.47,9.35,4.83,9.05,160.19,97.18,Overexertion
37.71,31.34,1007.83,73.23,0.13,0.06,0.08,7.03,9.49,9.87,95.98,97.51,Dehydrated
37.13,29.64,1016.21,58.35,0.04,0.18,0.04,11.51,6.23,9.68,79.5,97.64,Normal
36.93,32.9,999.65,46.42,0.15,0.09,0.08,13.76,8.4,14.74,72.42,96.21,Normal
36.42,24.5,1023.9,53.17,0.18,0.02,0.08,3.53,7.0,10.85,56.85,96.11,Normal
37.26,32.27,1022.79,56.06,0.05,0.06,0.01,1.83,15.11,-0.93,58.38,95.89,Fatigued
36.66,32.59,997.29,65.81,0.02,0.1,0.05,4.48,10.9,16.96,85.96,85.59,Low oxygen state
36.48,31.98,1017.77,35.62,0.12,0.07,0.06,7.17,12.64,9.28,70.51,97.33,Normal
36.12,26.62,1020.51,41.84,0.09,0.12,0.12,3.52,15.75,8.5,115.74,85.13,Low oxygen state
36.93,33.47,999.88,45.61,0.03,0.01,0.07,7.76,7.07,9.6,60.87,92.95,Fatigued
36.77,26.98,1007.18,41.33,0.18,0.18,0.07,12.84,18.14,8.1,97.96,83.94,Low oxygen state
36.74,21.21,1011.11,32.62,0.11,0.07,0.13,2.22,4.52,13.66,73.95,97.97,Normal
