body_temp,ambient_temp,pressure_hpa,humidity_pct,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,heart_rate_bpm,spo2_pct,risk_level
38.44,23.35,1013.8,76.93,0.17,0.05,0.09,-0.05,7.54,11.96,131.94,95.08,Warning
36.28,20.88,1007.56,60.38,0.12,0.05,0.03,17.33,8.87,10.34,65.5,95.99,Healthy
36.83,32.74,1028.81,71.66,0.1,0.13,0.09,9.83,6.25,6.11,67.65,96.97,Healthy
38.28,20.08,1020.74,47.84,0.15,0.24,0.16,11.09,14.41,4.95,115.15,88.47,Warning
36.55,28.87,1019.62,72.5,0.09,0.02,0.06,14.65,13.39,13.49,65.89,96.96,Healthy
40.9,29.81,1006.55,68.04,0.04,0.04,0.14,16.78,9.64,15.02,156.76,98.49,Critical
38.55,32.36,1035.87,40.15,0.11,0.09,0.23,4.87,6.09,12.12,119.12,93.41,Warning
37.59,26.72,1009.32,51.36,0.11,0.12,0.17,10.88,8.45,13.37,92.61,98.16,Slight abnormality
38.49,34.32,1012.85,42.34,0.09,0.05,0.06,7.58,7.15,-0.46,126.3,94.01,Warning
36.82,23.45,1027.03,61.68,0.12,0.1,0.04,15.71,13.76,13.96,89.71,96.81,Healthy
38.67,32.44,1019.05,47.43,0.1,0.04,0.14,12.16,4.52,6.59,72.95,92.96,Warning
37.08,20.8,1024.91,47.46,0.15,0.13,0.17,22.7,8.38,8.97,67.15,97.56,Healthy
39.52,22.53,984.21,79.72,0.09,0.13,0.16,0.75,15.84,5.07,123.4,84.9,Critical
40.5,29.71,1015.77,69.74,0.19,0.09,0.06,5.55,5.92,9.61,204.69,85.38,Critical
40.03,18.28,1016.36,33.77,0.1,0.1,0.11,13.03,8.26,13.03,131.01,82.61,Critical
36.52,28.26,1021.72,65.12,0.1,0.13,0.19,11.15,5.96,15.29,65.9,97.71,Healthy
39.45,20.2,1033.0,63.6,0.02,0.07,0.06,10.98,7.22,9.36,140.9,83.35,Critical
37.91,28.23,1006.48,57.03,0.1,0.05,0.06,13.4,6.35,11.08,98.29,98.09,Slight abnormality
36.77,28.79,1011.85,41.99,0.08,0.06,0.07,9.32,6.03,8.16,66.11,98.59,Healthy
36.53,26.81,1031.72,34.89,0.12,0.18,0.03,19.22,6.35,3.6,79.76,98.27,Slight abnormality
37.43,32.63,1019.08,58.67,0.13,0.26,0.1,14.86,17.72,11.72,66.01,96.68,Healthy
37.11,25.05,1021.5,35.91,0.09,0.13,0.11,6.89,8.96,7.53,87.06,95.05,Healthy
36.96,30.64,1009.32,59.03,0.07,0.1,0.12,18.39,0.63,18.05,68.53,96.91,Healthy
38.63,26.8,1021.54,30.54,0.08,0.11,0.1,14.65,7.38,14.75,108.05,92.19,Warning
38.3,28.28,1013.6,51.3,0.08,0.11,0.12,18.38,14.44,12.48,89.65,88.84,Warning
39.59,27.9,1002.97,30.57,0.06,0.09,0.12,17.38,14.29,9.2,149.04,90.08,Critical
37.03,27.16,1015.85,64.77,0.06,0.1,-0.03,15.71,0.52,13.0,65.68,95.58,Healthy
37.48,31.92,1011.42,47.67,0.19,0.16,0.19,9.45,14.88,2.74,73.25,96.57,Healthy
37.13,36.42,995.7,75.96,0.08,0.02,0.19,2.54,6.77,7.98,91.9,95.66,Slight abnormality
40.37,28.23,1008.5,52.53,0.17,0.09,0.16,2.03,7.0,10.03,122.63,87.14,Critical
35.76,30.63,1015.33,79.02,0.14,0.07,0.23,16.98,8.05,15.75,67.85,96.48,Healthy
36.99,32.91,1016.31,77.48,0.14,0.09,0.11,-0.85,7.57,16.67,89.44,98.44,Slight abnormality
40.34,35.5,1003.92,64.83,0.07,0.01,0.15,-0.87,20.16,1.18,169.94,84.06,Critical
38.59,28.18,1006.0,73.68,0.06,0.09,0.05,7.23,4.01,19.82,122.77,90.76,Warning
36.85,24.08,1017.72,31.52,0.1,0.14,0.06,18.9,11.26,12.0,70.29,97.8,Healthy
38.01,24.13,1009.49,74.53,0.06,0.05,0.09,9.76,4.69,6.73,98.82,94.54,Slight abnormality
38.74,26.55,998.85,54.91,0.13,0.2,0.17,-0.04,15.34,13.56,117.45,91.61,Warning
36.6,23.46,1007.23,38.54,0.06,0.1,0.06,11.35,9.75,8.81,66.1,96.41,Healthy
38.51,37.23,1015.66,68.39,0.01,0.23,0.08,12.47,13.2,5.93,96.86,91.6,Warning
38.65,19.15,1002.67,76.48,0.07,0.14,0.16,13.86,6.38,22.17,100.94,92.17,Warning
38.03,32.1,995.93,64.15,0.13,0.12,0.07,6.6,13.71,11.22,86.02,97.7,Slight abnormality
40.69,31.85,998.21,36.96,0.18,0.12,0.09,14.15,-1.06,11.18,160.19,89.99,Critical
40.41,29.3,990.55,52.85,0.14,0.08,0.08,9.74,19.2,7.97,151.1,95.02,Critical
40.5,25.44,1014.71,50.04,0.15,0.17,0.15,1.84,11.4,4.71,163.09,84.78,Critical
39.74,25.65,1008.98,71.87,0.18,0.16,0.13,6.85,9.08,8.35,125.3,80.6,Critical
39.17,21.52,1009.64,41.23,0.08,0.05,0.02,14.12,10.37,3.55,93.12,91.7,Warning
40.68,19.85,1014.1,39.22,0.15,0.07,0.07,12.23,10.07,21.38,128.79,80.53,Critical
37.56,21.8,1001.22,39.1,0.11,0.23,0.04,16.94,-3.3,-0.39,75.92,96.89,Slight abnormality
37.54,19.46,1023.1,58.47,0.09,0.15,0.02,11.7,10.13,2.95,99.78,97.13,Slight abnormality
39.25,26.45,1016.26,51.07,0.12,0.08,0.16,4.59,13.08,12.97,125.17,81.73,Critical
37.6,23.12,1012.8,39.11,0.15,0.07,0.16,8.17,12.36,10.83,112.78,96.52,Slight abnormality
35.96,38.03,1020.18,71.49,0.07,0.08,0.04,10.5,1.85,12.76,87.24,97.67,Healthy
38.1,25.52,994.45,77.93,0.14,0.1,0.21,15.93,11.29,17.02,106.62,94.42,Warning
39.94,28.61,1038.6,46.71,0.23,0.12,0.11,5.71,13.5,7.12,142.96,85.97,Critical
36.49,33.05,1004.31,77.91,0.18,0.06,0.1,8.46,6.71,13.32,55.76,97.77,Healthy
38.07,32.09,1014.34,31.7,0.16,0.15,0.08,13.16,2.37,9.71,125.8,91.92,Warning
37.93,28.4,1023.13,52.05,0.21,0.12,0.04,17.07,5.72,23.71,70.95,96.34,Slight abnormality
39.78,35.05,1035.99,73.68,0.03,0.11,0.14,10.41,15.33,7.41,116.36,77.97,Critical
36.24,32.01,1015.74,74.21,0.14,0.02,0.13,8.77,5.58,6.76,67.6,97.45,Healthy
40.85,30.78,1006.77,47.51,0.16,0.18,0.02,10.37,7.41,7.01,138.59,81.67,Critical
39.86,28.63,1015.3,44.07,-0.01,0.06,0.09,1.19,9.65,9.06,152.04,87.2,Critical
40.14,31.41,1031.47,43.35,0.1,0.16,0.23,7.35,7.55,15.22,156.11,88.73,Critical
38.18,25.29,1019.39,75.44,0.12,0.07,0.11,9.21,9.79,12.78,122.93,93.31,Warning
39.73,34.04,998.59,76.6,0.17,0.11,0.11,7.99,12.69,10.24,153.88,89.29,Critical
37.47,25.75,1024.27,70.94,0.07,0.2,0.16,18.63,6.85,9.16,77.75,98.85,Slight abnormality
39.94,32.36,1019.5,50.99,0.07,0.05,0.14,11.22,7.18,3.6,125.45,91.64,Critical
36.25,40.82,1000.84,40.19,0.05,0.06,0.13,12.01,13.45,4.18,65.47,98.16,Healthy
36.85,22.85,1012.5,36.26,0.12,0.13,0.05,11.62,16.25,12.46,75.66,97.72,Healthy
39.96,26.07,1016.28,66.09,0.08,0.03,0.16,2.73,19.83,19.81,174.3,87.97,Critical
39.59,17.79,1010.53,31.66,0.04,0.18,0.14,8.9,10.13,11.04,146.42,82.07,Critical
37.66,27.14,1014.46,69.17,0.09,0.11,0.14,17.38,17.62,11.86,86.65,97.1,Slight abnormality
38.49,22.84,1007.71,69.48,0.09,0.17,0.12,20.91,8.15,11.02,142.13,95.46,Warning
37.84,26.32,1016.52,78.04,0.06,0.1,0.03,7.63,3.28,8.15,87.25,95.0,Slight abnormality
36.43,32.42,1019.52,75.62,0.15,0.18,0.08,15.39,9.81,9.14,58.29,97.22,Healthy
39.94,29.15,989.75,50.65,0.08,0.13,0.08,16.94,18.3,16.38,135.28,84.2,Critical
37.49,33.54,1005.92,36.54,0.04,0.12,0.12,9.57,14.04,3.77,94.77,97.24,Slight abnormality
38.98,20.44,996.63,56.68,0.0,0.06,0.12,20.95,3.7,3.52,120.61,93.94,Warning
38.8,27.6,1013.79,32.08,0.09,0.1,0.1,13.64,10.26,13.66,152.79,86.81,Critical
36.34,25.86,1005.79,41.73,0.11,0.05,0.1,10.32,10.6,8.03,74.03,94.88,Healthy
38.76,28.99,1017.49,63.83,0.1,0.2,0.15,11.54,7.76,10.34,92.85,95.27,Warning
37.77,34.12,1019.94,76.28,0.02,0.15,0.08,11.03,6.98,8.37,88.61,96.56,Slight abnormality
36.71,23.77,1003.09,41.88,0.11,0.09,0.1,4.52,2.8,17.97,81.01,96.85,Healthy
36.15,19.85,1014.71,53.83,0.04,0.12,0.16,13.49,25.71,10.17,67.58,96.97,Healthy
