body_temp,ambient_temp,pressure_hpa,humidity_pct,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,heart_rate_bpm,spo2_pct,Resting,Light activity,Moderate activity,High activity,Sleeping,Walking,Running,Sedentary,Normal,Stressed,Fatigued,Dehydrated,Possible fever,Low oxygen state,Overexertion,Early illness indication,Hot environment,Cold environment,Humid environment,Low-pressure environment,Healthy,Slight abnormality,Warning,Critical
37.19,39.65,1008.08,16.23,-1.3,2.63,-2.06,-192.49,388.95,207.31,87.86,81.47,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
39.78,27.31,1002.7,62.71,-0.25,-2.56,-2.43,-127.04,-184.29,-362.84,121.52,78.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
38.79,16.84,985.1,81.9,-2.4,-1.88,-2.17,-247.23,-448.09,-272.11,143.03,93.69,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
38.19,35.78,999.32,78.8,-0.32,0.9,-0.16,172.27,419.74,-258.13,198.75,78.99,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
36.2,24.65,986.51,85.37,-1.78,-0.39,2.31,21.61,-63.74,481.85,151.26,70.03,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
36.2,30.81,1015.79,98.15,-1.33,0.05,-1.14,17.94,-383.18,305.99,116.59,66.42,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35.76,13.75,1033.5,99.62,-0.13,-1.26,-0.35,-286.86,-140.79,-460.81,104.54,60.97,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
39.4,32.11,1028.69,46.94,2.32,0.41,-2.8,41.44,282.17,-116.65,88.84,98.23,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
38.21,23.07,984.07,55.19,0.47,-2.52,0.6,54.7,79.06,209.71,67.95,98.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
38.69,21.7,1000.94,54.84,-2.89,-2.08,-0.96,-467.59,440.79,315.53,87.77,67.76,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
35.59,44.3,951.07,67.78,-2.14,-2.93,1.01,-207.77,487.95,-259.36,164.56,92.29,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39.86,25.14,1037.03,32.11,-2.62,-0.79,0.43,155.93,-134.08,473.71,188.36,95.23,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
39.25,33.73,974.54,79.53,-1.88,2.36,1.35,-185.63,382.05,-439.99,126.61,73.68,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
36.46,31.97,994.11,21.4,-0.94,1.06,1.65,-114.19,457.75,212.15,41.66,82.78,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36.32,13.65,965.26,95.61,-1.95,-0.16,-1.56,-11.07,-297.84,394.78,73.47,89.07,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
36.33,36.18,1017.81,21.23,-0.23,2.46,0.04,-340.64,411.69,264.5,163.94,99.89,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
36.87,21.31,1004.53,76.84,1.95,-0.66,0.35,181.24,-349.83,-423.39,50.24,87.86,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
37.86,37.96,986.48,45.75,1.95,-0.0,-0.38,-404.77,21.86,316.48,145.91,71.87,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37.44,31.27,1003.52,67.05,-0.96,-0.7,-0.69,265.54,308.62,-399.98,78.41,72.22,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
36.81,21.1,966.87,38.29,-1.04,-1.09,2.68,-124.23,-142.85,29.33,144.47,73.51,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
38.25,22.47,1027.56,20.77,1.47,-2.98,-2.34,-155.5,-343.19,-170.7,183.25,91.19,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
36.13,35.6,976.6,94.43,-0.51,1.79,-2.25,82.34,-178.95,85.7,123.52,66.04,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
36.81,29.25,1011.5,55.91,2.82,-2.39,0.7,375.64,79.63,297.17,50.83,99.31,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0
